footlength,Heightin,Weightlbs,balloffootcircumference,EUR Size
258,70,211,240,39.63133640552996
250,67,155,245,38.40245775729647
251,66,175,246,38.556067588325654
264,67,169,252,40.55299539170507
278,69,225,263,42.703533026113675
270,70,225,268,41.474654377880185
286,72,206,267,43.93241167434716
272,67,165,246,41.78187403993856
250,66,172,244,38.40245775729647
268,72,200,239,41.16743471582181
266,78,178,240,40.86021505376344
267,72,180,242,41.013824884792626
281,70,140,240,43.164362519201234
253,67,167,244,38.863287250384026
271,69,175,248,41.62826420890937
250,65,180,232,38.40245775729647
247,66,160,237,37.94162826420891
270,65,188,250,41.474654377880185
288,73,248,264,44.23963133640553
263,69,165,246,40.39938556067588
281,74,200,271,43.164362519201234
275,69,180,257,42.242703533026116
267,75,185,247,41.013824884792626
274,70,215,257,42.08909370199693
294,73,213,261,45.16129032258065
293,71,203,275,45.00768049155146
244,63,130,235,37.48079877112135
274,72,175,251,42.08909370199693
281,76,185,284,43.164362519201234
274,66,185,266,42.08909370199693
270,67,172,232,41.474654377880185
265,67,190,253,40.706605222734254
268,66,189,253,41.16743471582181
284,71,225,256,43.625192012288785
244,66,177,237,37.48079877112135
279,75,230,246,42.85714285714286
264,68,207,233,40.55299539170507
273,67,147,235,41.935483870967744
262,69,185,252,40.2457757296467
253,70,180,236,38.863287250384026
267,64,158,256,41.013824884792626
254,67,190,248,39.01689708141321
282,72,178,264,43.31797235023041
256,68,165,236,39.324116743471585
266,70,187,255,40.86021505376344
269,71,135,248,41.321044546851
266,74,175,246,40.86021505376344
284,72,160,246,43.625192012288785
292,73,202,273,44.854070660522275
299,74,190,276,45.92933947772658
282,69,190,266,43.31797235023041
266,67,153,259,40.86021505376344
275,72,244,273,42.242703533026116
276,68,145,244,42.3963133640553
272,69,160,254,41.78187403993856
259,69,160,242,39.78494623655914
284,71,185,272,43.625192012288785
289,75,210,273,44.39324116743472
272,70,155,256,41.78187403993856
297,76,225,287,45.622119815668206
265,69,170,241,40.706605222734254
290,71,180,270,44.5468509984639
274,72,175,251,42.08909370199693
274,72,178,246,42.08909370199693
281,74,180,248,43.164362519201234
275,70,145,248,42.242703533026116
283,75,206,257,43.4715821812596
264,66,200,265,40.55299539170507
285,74,250,242,43.77880184331797
232,63,168,242,35.63748079877112
285,70,195,254,43.77880184331797
285,73,205,269,43.77880184331797
254,69,170,240,39.01689708141321
270,70,147,223,41.474654377880185
286,71,176,256,43.93241167434716
264,67,150,239,40.55299539170507
287,73,195,260,44.086021505376344
274,70,175,245,42.08909370199693
274,68,170,262,42.08909370199693
278,71,207,233,42.703533026113675
264,69,175,245,40.55299539170507
289,70,190,252,44.39324116743472
280,70,195,276,43.01075268817205
266,71,265,262,40.86021505376344
266,71,164,263,40.86021505376344
269,71,178,259,41.321044546851
265,70,165,237,40.706605222734254
263,68,170,243,40.39938556067588
275,72,140,248,42.242703533026116
269,71,160,240,41.321044546851
273,68,181,248,41.935483870967744
273,70,175,249,41.935483870967744
252,64,148,227,38.70967741935484
256,65,172,235,39.324116743471585
289,73,195,261,44.39324116743472
269,69,200,257,41.321044546851
246,67,162,233,37.78801843317972
282,74,185,264,43.31797235023041
275,60,170,240,42.242703533026116
297,77,226,272,45.622119815668206
271,71,220,258,41.62826420890937
262,66,150,239,40.2457757296467
259,69,210,247,39.78494623655914
259,66,184,243,39.78494623655914
273,66,188,264,41.935483870967744
289,73,215,260,44.39324116743472
274,73,150,230,42.08909370199693
267,67,145,228,41.013824884792626
259,68,150,245,39.78494623655914
264,68,200,242,40.55299539170507
259,68,187,244,39.78494623655914
291,74,253,277,44.70046082949309
260,67,190,237,39.93855606758833
274,71,196,262,42.08909370199693
288,73,175,256,44.23963133640553
265,69,176,249,40.706605222734254
269,67,180,263,41.321044546851
279,68,170,243,42.85714285714286
280,71,150,237,43.01075268817205
265,70,195,263,40.706605222734254
269,69,165,235,41.321044546851
253,70,145,252,38.863287250384026
266,72,165,246,40.86021505376344
276,70,214,262,42.3963133640553
253,68,196,246,38.863287250384026
261,70,195,258,40.092165898617516
261,71,193,256,40.092165898617516
249,67,190,243,38.24884792626728
280,71,202,250,43.01075268817205
249,69,200,250,38.24884792626728
272,72,205,247,41.78187403993856
260,68,155,245,39.93855606758833
244,64,150,244,37.48079877112135
281,68,174,253,43.164362519201234
271,70,260,278,41.62826420890937
271,73,215,261,41.62826420890937
264,68,178,245,40.55299539170507
276,72,210,263,42.3963133640553
271,70,190,247,41.62826420890937
256,71,171,253,39.324116743471585
270,71,180,240,41.474654377880185
281,69,224,255,43.164362519201234
270,74,205,244,41.474654377880185
264,69,195,261,40.55299539170507
263,68,165,242,40.39938556067588
266,68,191,245,40.86021505376344
274,75,190,248,42.08909370199693
265,72,215,256,40.706605222734254
274,69,170,250,42.08909370199693
266,71,220,276,40.86021505376344
289,73,186,260,44.39324116743472
277,71,195,244,42.54992319508449
269,69,225,261,41.321044546851
261,68,190,256,40.092165898617516
252,68,160,233,38.70967741935484
285,72,194,283,43.77880184331797
284,76,200,272,43.625192012288785
275,70,205,252,42.242703533026116
247,65,170,242,37.94162826420891
270,70,150,247,41.474654377880185
269,71,195,256,41.321044546851
272,71,194,264,41.78187403993856
286,72,195,261,43.93241167434716
272,71,180,245,41.78187403993856
257,66,135,230,39.47772657450077
288,76,218,262,44.23963133640553
275,68,155,247,42.242703533026116
298,76,190,267,45.77572964669739
284,71,166,260,43.625192012288785
269,70,180,237,41.321044546851
278,71,195,255,42.703533026113675
255,69,200,240,39.1705069124424
265,69,205,261,40.706605222734254
268,70,213,241,41.16743471582181
267,69,148,230,41.013824884792626
278,72,180,258,42.703533026113675
273,72,170,251,41.935483870967744
254,67,210,256,39.01689708141321
281,69,185,268,43.164362519201234
270,65,235,254,41.474654377880185
263,68,185,241,40.39938556067588
297,72,175,261,45.622119815668206
249,69,135,249,38.24884792626728
258,68,150,235,39.63133640552996
283,70,190,277,43.4715821812596
272,72,205,272,41.78187403993856
265,70,185,237,40.706605222734254
282,71,165,255,43.31797235023041
296,75,240,270,45.46850998463902
257,69,220,227,39.47772657450077
262,70,195,242,40.2457757296467
255,67,194,247,39.1705069124424
264,69,195,253,40.55299539170507
280,74,220,282,43.01075268817205
280,70,215,253,43.01075268817205
276,69,180,257,42.3963133640553
269,69,210,259,41.321044546851
258,69,180,230,39.63133640552996
274,72,145,254,42.08909370199693
268,69,193,248,41.16743471582181
280,71,195,258,43.01075268817205
277,70,245,281,42.54992319508449
264,71,165,250,40.55299539170507
287,73,210,260,44.086021505376344
275,67,155,244,42.242703533026116
280,72,215,253,43.01075268817205
268,70,200,244,41.16743471582181
296,73,220,277,45.46850998463902
265,72,175,253,40.706605222734254
277,68,207,266,42.54992319508449
287,71,207,256,44.086021505376344
267,69,210,258,41.013824884792626
286,73,141,250,43.93241167434716
278,72,250,284,42.703533026113675
270,68,168,253,41.474654377880185
288,71,150,276,44.23963133640553
261,69,170,228,40.092165898617516
267,69,232,271,41.013824884792626
274,72,231,252,42.08909370199693
290,71,160,256,44.5468509984639
277,73,207,253,42.54992319508449
270,73,196,246,41.474654377880185
258,66,170,245,39.63133640552996
256,64,201,243,39.324116743471585
274,69,173,241,42.08909370199693
264,66,185,243,40.55299539170507
263,66,190,255,40.39938556067588
257,65,130,258,39.47772657450077
272,68,205,261,41.78187403993856
279,71,180,260,42.85714285714286
254,65,155,262,39.01689708141321
280,67,158,247,43.01075268817205
260,71,177,240,39.93855606758833
277,73,150,251,42.54992319508449
260,68,186,244,39.93855606758833
273,69,210,258,41.935483870967744
272,68,212,264,41.78187403993856
284,72,230,261,43.625192012288785
274,69,175,255,42.08909370199693
251,67,180,247,38.556067588325654
301,72,215,277,46.236559139784944
286,70,240,260,43.93241167434716
269,69,200,257,41.321044546851
273,69,177,236,41.935483870967744
269,71,186,255,41.321044546851
277,74,185,248,42.54992319508449
262,68,200,252,40.2457757296467
283,76,240,273,43.4715821812596
271,66,192,266,41.62826420890937
274,71,195,257,42.08909370199693
244,67,190,253,37.48079877112135
263,69,160,247,40.39938556067588
268,70,215,255,41.16743471582181
260,66,205,254,39.93855606758833
274,69,190,270,42.08909370199693
267,72,185,247,41.013824884792626
266,73,187,247,40.86021505376344
255,66,190,244,39.1705069124424
294,76,240,270,45.16129032258065
292,72,181,271,44.854070660522275
256,67,196,247,39.324116743471585
261,68,205,250,40.092165898617516
268,68,195,239,41.16743471582181
270,69,220,253,41.474654377880185
245,70,181,247,37.634408602150536
249,66,170,251,38.24884792626728
253,70,195,247,38.863287250384026
265,70,195,246,40.706605222734254
270,71,226,267,41.474654377880185
252,64,137,223,38.70967741935484
269,69,210,250,41.321044546851
270,71,177,246,41.474654377880185
279,70,158,251,42.85714285714286
275,74,155,244,42.242703533026116
288,72,260,264,44.23963133640553
252,67,194,237,38.70967741935484
273,71,165,245,41.935483870967744
262,69,175,257,40.2457757296467
250,70,175,235,38.40245775729647
269,68,175,250,41.321044546851
283,86,167,263,43.4715821812596
277,69,189,236,42.54992319508449
293,77,208,254,45.00768049155146
276,71,205,273,42.3963133640553
266,72,185,244,40.86021505376344
292,75,200,263,44.854070660522275
294,74,187,257,45.16129032258065
281,72,207,257,43.164362519201234
270,71,167,255,41.474654377880185
279,71,142,252,42.85714285714286
257,68,155,260,39.47772657450077
295,73,180,270,45.314900153609834
260,70,171,251,39.93855606758833
283,69,274,273,43.4715821812596
273,71,213,262,41.935483870967744
243,64,155,236,37.327188940092164
254,66,128,243,39.01689708141321
281,71,206,245,43.164362519201234
284,71,155,255,43.625192012288785
258,68,205,253,39.63133640552996
270,69,175,245,41.474654377880185
288,73,201,268,44.23963133640553
255,65,130,217,39.1705069124424
260,66,160,247,39.93855606758833
278,71,210,247,42.703533026113675
291,74,155,246,44.70046082949309
279,69,165,256,42.85714285714286
274,69,204,247,42.08909370199693
277,73,170,255,42.54992319508449
287,77,195,257,44.086021505376344
271,76,150,250,41.62826420890937
286,75,165,267,43.93241167434716
274,71,170,258,42.08909370199693
299,72,235,275,45.92933947772658
267,67,150,237,41.013824884792626
267,80,220,258,41.013824884792626
250,68,175,226,38.40245775729647
285,73,200,268,43.77880184331797
262,68,149,234,40.2457757296467
277,71,185,266,42.54992319508449
265,68,152,239,40.706605222734254
277,69,210,266,42.54992319508449
259,64,190,240,39.78494623655914
264,71,185,255,40.55299539170507
254,68,178,257,39.01689708141321
309,78,220,292,47.465437788018434
272,68,156,244,41.78187403993856
264,69,140,243,40.55299539170507
269,68,195,248,41.321044546851
250,68,180,252,38.40245775729647
244,67,179,231,37.48079877112135
267,70,174,247,41.013824884792626
258,66,170,242,39.63133640552996
264,71,150,226,40.55299539170507
295,76,250,265,45.314900153609834
279,69,175,243,42.85714285714286
280,69,165,244,43.01075268817205
268,69,205,260,41.16743471582181
265,70,185,249,40.706605222734254
283,68,190,250,43.4715821812596
271,69,210,248,41.62826420890937
274,70,224,277,42.08909370199693
282,68,185,253,43.31797235023041
270,70,200,247,41.474654377880185
267,70,220,258,41.013824884792626
272,70,180,250,41.78187403993856
270,70,187,240,41.474654377880185
256,66,190,250,39.324116743471585
262,67,185,258,40.2457757296467
260,69,187,257,39.93855606758833
262,70,220,266,40.2457757296467
276,69,190,256,42.3963133640553
267,68,170,241,41.013824884792626
255,67,150,251,39.1705069124424
260,69,180,253,39.93855606758833
275,71,195,263,42.242703533026116
273,71,242,279,41.935483870967744
266,73,215,271,40.86021505376344
284,73,215,271,43.625192012288785
272,74,215,262,41.78187403993856
283,69,223,250,43.4715821812596
240,66,160,215,36.86635944700461
256,67,196,247,39.324116743471585
296,72,211,264,45.46850998463902
273,71,198,271,41.935483870967744
269,70,170,245,41.321044546851
264,70,220,248,40.55299539170507
255,69,190,264,39.1705069124424
285,71,205,256,43.77880184331797
259,69,200,250,39.78494623655914
266,71,165,231,40.86021505376344
260,66,160,240,39.93855606758833
284,71,235,271,43.625192012288785
266,70,180,254,40.86021505376344
268,71,205,256,41.16743471582181
257,68,185,241,39.47772657450077
287,72,176,244,44.086021505376344
269,68,185,255,41.321044546851
268,71,165,252,41.16743471582181
270,68,168,229,41.474654377880185
261,70,190,230,40.092165898617516
254,69,175,235,39.01689708141321
268,71,225,266,41.16743471582181
263,66,159,233,40.39938556067588
268,70,175,261,41.16743471582181
286,72,200,263,43.93241167434716
265,74,185,239,40.706605222734254
243,62,189,258,37.327188940092164
279,71,182,257,42.85714285714286
284,69,210,269,43.625192012288785
275,70,175,247,42.242703533026116
293,74,225,264,45.00768049155146
273,71,187,242,41.935483870967744
278,71,199,270,42.703533026113675
268,69,180,238,41.16743471582181
276,69,198,252,42.3963133640553
287,76,255,270,44.086021505376344
285,71,204,262,43.77880184331797
288,72,230,270,44.23963133640553
254,65,198,241,39.01689708141321
293,74,210,252,45.00768049155146
285,69,175,264,43.77880184331797
296,71,240,267,45.46850998463902
285,68,210,264,43.77880184331797
267,67,185,230,41.013824884792626
272,72,235,261,41.78187403993856
250,63,170,242,38.40245775729647
293,75,240,264,45.00768049155146
283,71,200,254,43.4715821812596
274,74,220,240,42.08909370199693
278,70,200,242,42.703533026113675
274,73,239,248,42.08909370199693
275,70,217,265,42.242703533026116
308,78,240,297,47.31182795698925
261,68,180,227,40.092165898617516
294,74,197,258,45.16129032258065
264,70,190,234,40.55299539170507
258,68,177,245,39.63133640552996
269,71,192,254,41.321044546851
252,68,195,254,38.70967741935484
275,71,205,243,42.242703533026116
280,74,200,247,43.01075268817205
284,71,199,248,43.625192012288785
287,71,214,255,44.086021505376344
278,69,210,251,42.703533026113675
279,71,175,251,42.85714285714286
269,70,221,256,41.321044546851
264,70,180,250,40.55299539170507
262,66,195,256,40.2457757296467
269,69,175,246,41.321044546851
293,76,225,266,45.00768049155146
272,68,175,245,41.78187403993856
284,72,215,257,43.625192012288785
264,71,188,264,40.55299539170507
273,73,209,256,41.935483870967744
257,69,175,247,39.47772657450077
302,75,250,278,46.39016897081413
269,67,188,268,41.321044546851
264,67,162,246,40.55299539170507
283,72,210,247,43.4715821812596
278,74,189,272,42.703533026113675
274,72,165,234,42.08909370199693
254,68,168,233,39.01689708141321
262,68,185,232,40.2457757296467
263,68,190,254,40.39938556067588
274,72,205,247,42.08909370199693
271,68,200,257,41.62826420890937
283,73,225,266,43.4715821812596
274,70,190,257,42.08909370199693
256,65,167,243,39.324116743471585
283,70,200,266,43.4715821812596
273,68,210,265,41.935483870967744
273,71,239,273,41.935483870967744
260,68,150,232,39.93855606758833
262,70,190,260,40.2457757296467
285,71,209,263,43.77880184331797
265,70,165,261,40.706605222734254
279,71,185,264,42.85714285714286
274,69,192,260,42.08909370199693
290,74,227,268,44.5468509984639
292,74,205,260,44.854070660522275
281,71,188,266,43.164362519201234
273,70,196,247,41.935483870967744
269,71,180,251,41.321044546851
271,71,221,252,41.62826420890937
263,69,180,244,40.39938556067588
266,70,196,246,40.86021505376344
255,66,210,240,39.1705069124424
295,72,222,258,45.314900153609834
268,70,177,257,41.16743471582181
278,71,188,257,42.703533026113675
282,72,209,246,43.31797235023041
262,71,175,230,40.2457757296467
294,73,195,279,45.16129032258065
268,70,175,236,41.16743471582181
263,68,180,235,40.39938556067588
280,74,195,256,43.01075268817205
275,71,0,248,42.242703533026116
271,70,194,261,41.62826420890937
284,71,220,262,43.625192012288785
286,94,192,270,43.93241167434716
273,70,176,240,41.935483870967744
